Name,GLIMS,RGI60.01,Region,LonCenter,LatCenter,LonMin,LonMax,LatMin,LatMax,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5
McBride,G223936E59076N,20968,Terminus,-136.095,59.05,-136.151,-136.023,59.026,59.094,-136.15096414020167,59.02492671657048,-136.0209804175277,59.02601592580635,-136.02303192008236,59.095071960172135,-136.15327669198243,59.09397978560694,-136.15096414020167,59.02492671657048
Muir,G223525E59221N,20841,Terminus,-136.38,59.1,-136.426,-136.215,59.048,59.128,-136.42591099605818,59.04585178672586,-136.21217559477864,59.04802643816503,-136.2150759745525,59.13014516451842,-136.42932238969468,59.12796346737901,-136.42591099605818,59.04585178672586
Hubbard,G220499E60427N,14443,Terminus,-139.481,60.014,-139.574,-139.35,59.985,60.054,-139.57295671447548,59.97745161301535,-139.3409656892377,59.98529785687708,-139.35099419574934,60.0615400622538,-139.5835167088372,60.053669785535085,-139.57295671447548,59.97745161301535
Valerie,G220560E60074N,26736,Terminus,-139.520,60.032,-139.574,-139.491,60.018,60.054,-139.573606986221,60.015160725873905,-139.48612879550714,60.01816580002908,-139.49138625250396,60.05683751209287,-139.57896609652954,60.05382777072202,-139.573606986221,60.015160725873905
Turner,G220204E60098N,14391,Terminus,-139.59,60.01,-139.647,-139.565,60.0,60.035,-139.64659927925186,59.99714864586512,-139.56018999859887,60.00016648918588,-139.5653940201637,60.037849646706775,-139.65190105024865,60.03482723796853,-139.64659927925186,59.99714864586512
Agassiz,G219116E60102N,23649,Terminus,-141.0,60.0,-141.215,-140.901,59.899,60.027,-141.21230863482066,59.88464161506253,-140.87838219770046,59.900014069968776,-140.90356502606429,60.041329240070894,-141.23889997804298,60.02586951189849,-141.21230863482066,59.88464161506253
Seward,G219572E60177N,13696,Terminus,-140.55,59.8,-141.215,-139.965,59.726,60.027,-141.20516259143633,59.67307924155627,-139.9204609062156,59.72767986647029,-139.97294154707177,60.07971119083818,-141.27115021487282,60.024337075772216,-141.20516259143633,59.67307924155627
Marvine,G219820E59978N,23653,Terminus,-140.1,59.9,-140.226,-139.965,59.843,59.955,-140.2244188442377,59.83293543258654,-139.9483659931731,59.84362770204378,-139.9665068436888,59.965045851782385,-140.2435607096837,59.954301510063665,-140.2244188442377,59.83293543258654
Tyndall,G218857E60196N,13638,Terminus,-141.16,60.17,-141.243,-141.095,60.114,60.206,-141.24169644879746,60.107138716053434,-141.07807140051526,60.114781141036865,-141.0962757113662,60.212850124957534,-141.26038312035394,60.20517748957203,-141.24169644879746,60.107138716053434
Yahtse,G218284E60329N,14683,Terminus,-141.37,60.185,-141.419,-141.334,60.141,60.197,-141.41820387491558,60.13693025221884,-141.32328603116696,60.14151391808715,-141.3347867253894,60.20106569443164,-141.4298743202798,60.196471031617996,-141.41820387491558,60.13693025221884
Guyot,G218236E60214N,14878,Terminus,-141.57,60.17,-141.638,-141.496,60.118,60.194,-141.63658444992598,60.11099731563237,-141.4811039270187,60.11873307261274,-141.4973881762017,60.20099364126867,-141.65325239994846,60.1932322445706,-141.63658444992598,60.11099731563237
Steller,G216487E60497N,14883,Terminus,-143.8,60.32,-143.965,-143.623,60.196,60.396,-143.95883424802884,60.173557925770375,-143.57098082242777,60.19939739955403,-143.62896508842064,60.4183678122051,-144.01935741259877,60.39229915170883,-143.95883424802884,60.173557925770375
BeringCentral,G216273E60232N,27108,Terminus,-143.7,60.2,-143.827,-143.514,60.133,60.309,-143.82152792498758,60.112716133270716,-143.4689111369928,60.13591186638067,-143.51930537547258,60.32922567374367,-143.87395447790195,60.30584867714267,-143.82152792498758,60.112716133270716
Bering,G217928E60461N,13635,Terminus,-143.4,60.2,-143.965,-142.984,60.135,60.396,-143.9480029960046,60.07289325472609,-142.92119328715847,60.13879505710777,-142.99929478789483,60.45792161752798,-144.03591246366068,60.39116744854938,-143.9480029960046,60.07289325472609
Nourse,G224465E59685N,18156,Terminus,-135.430,59.719,-135.521,-135.421,59.706,59.744,-135.52099442715024,59.705641350212154,-135.4205227961794,59.706001529018025,-135.42100450682747,59.744358384997945,-135.52159121699353,59.743997654793795,-135.52099442715024,59.705641350212154
Irene,G224592E59575N,18164,Terminus,-135.408,59.575,-135.451,-135.364,59.561,59.592,-135.45099637960115,59.56072926851419,-135.3636653720738,59.561000929764724,-135.36400292393,59.59227057016598,-135.45141498547952,59.59199857091516,-135.45099637960115,59.56072926851419
West Creek,G224463E59608N,18341,Terminus,-135.516,59.572,-135.575,-135.496,59.565,59.627,-135.57499449165792,59.56467697396564,-135.4950877667254,59.565003451979656,-135.4960047577087,59.62732263775289,-135.57605946562506,59.6269953493809,-135.57499449165792,59.56467697396564
East Of Sheep Camp,G224777E59678N,18110,Terminus,-135.230,59.672,-135.247,-135.191,59.663,59.695,-135.24699931265744,59.662906532110775,-135.19081800227502,59.66300026480593,-135.19100053185926,59.69509340922064,-135.24723558206486,59.69499955658703,-135.24699931265744,59.662906532110775
Carroll,G223255E59174N,21014,Terminus,-136.484,59.000,-136.593,-136.406,58.953,59.049,-136.5929001373493,58.950834349891906,-136.4020925494542,58.95304239357471,-136.40608833306683,59.05116195475937,-136.59743916892376,59.04894537458005,-136.5929001373493,58.950834349891906
Casement,G224163E59073N,20686,Terminus,-135.965,58.979,-136.024,-135.91,58.922,59.006,-136.02397477783487,58.92114795481635,-135.90778966700253,58.92201553087604,-135.9100224553601,59.00685074258745,-136.02649321844544,59.00598026920683,-136.02397477783487,58.92114795481635
Davidson,G224405E59050N,26730,Terminus,-135.439,59.088,-135.502,-135.384,59.067,59.115,-135.50199411866512,59.066597018524305,-135.38346400936086,59.06700158564198,-135.38400450353313,59.11540262424138,-135.50270166642403,59.11499728499673,-135.50199411866512,59.066597018524305
Fairweather,G222173E58803N,20984,Terminus,-137.870,58.800,-137.958,-137.573,58.733,58.9,-137.95729940962406,58.72474991044926,-137.56067056866075,58.733245657092205,-137.5736119642638,58.90822741354918,-137.97223863539313,58.89967321241067,-137.95729940962406,58.72474991044926
Konamoxt,G222303E59295N,20937,Terminus,-137.620,59.375,-137.738,-137.547,59.318,59.422,-137.73768874934254,59.31413111809123,-137.53922374021653,59.318151833406475,-137.54729025264507,59.42586172397208,-137.7463838787515,59.42182382163654,-137.73768874934254,59.31413111809123
Little Jarvis,G223582E59400N,20623,Terminus,-136.418,59.4,-136.441,-136.398,59.387,59.42,-136.44098015623248,59.386532414052404,-136.39664167042937,59.38701454646926,-136.39801926547628,59.42046729677129,-136.44240144872674,59.41998452474752,-136.44098015623248,59.386532414052404
Melbern,G222486E59176N,21011,Terminus,-137.450,59.300,-137.582,-137.297,59.238,59.372,-137.58159635986235,59.232661863427744,-137.28798999157956,59.238158808859566,-137.29736024165098,59.37732556424449,-137.59216595780404,59.371798279145054,-137.58159635986235,59.232661863427744
Reid,G223186E58746N,20783,Terminus,-136.814,58.844,-136.832,-136.797,58.833,58.85,-136.83197405382217,58.832508470638224,-136.7961203216064,58.83301224081761,-136.7970254606247,58.850491384831464,-136.83289723660047,58.849987269267146,-136.83197405382217,58.832508470638224
Riggs,G223740E59170N,21001,Terminus,-136.160,59.069,-136.19,-136.121,59.062,59.102,-136.18997873854235,59.06138539386924,-136.11969657246615,59.06201126028793,-136.12102004640855,59.102614159023744,-136.1913852390862,59.101987290900574,-136.18997873854235,59.06138539386924
Tkope,G223113E59311N,26729,Terminus,-136.907,59.365,-136.972,-136.829,59.325,59.403,-136.97187925577947,59.32291608773701,-136.82480968568393,59.32505874858969,-136.82911218825896,59.40508095674895,-136.97652798708097,59.40293149551887,-136.97187925577947,59.32291608773701
Grand Plateau North,G222190E59103N,23655,Terminus,-138.065,59.130,-138.176,-137.966,59.093,59.19,-138.17554086855455,59.088036879782095,-137.95763184991404,59.09319115058518,-137.96642981434394,59.19495498423214,-138.18498446251868,59.18977999120236,-138.17554086855455,59.088036879782095
La Perouse,G222808E58557N,20791,Terminus,-137.26,58.49,-137.332,-137.197,58.455,58.523,-137.33184230386928,58.452618257118,-137.1927612120357,58.455072567255634,-137.19714881170347,58.52537906654159,-137.33650759919928,58.522918024867636,-137.33184230386928,58.452618257118
